status,starturl,origin
200,http://ceur-ws.org/Vol-1681/Resch_et_al_austrian_baroque_corpus.pdf,historical-corpora
200,http://ceur-ws.org/Vol-1649/80.pdf,L2-corpora
200,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=ud_23_yue_hk_a,manually-annotated-corpora
200,http://opensonar.inl.nl/,cmc-corpora
200,http://purl.ox.ac.uk/ota/2531,historical-corpora
200,http://www.lrec-conf.org/proceedings/lrec2016/summaries/110.html,newspaper-corpora
200,http://www.lrec-conf.org/proceedings/lrec2016/summaries/488.html,newspaper-corpora
200,http://www.lrec-conf.org/proceedings/lrec2016/summaries/1195.html,parallel-corpora
200,https://www.birmingham.ac.uk/Documents/college-artslaw/corpus/conference-archives/2017/general/paper382.pdf,newspaper-corpora
200,http://lrec-conf.org/workshops/lrec2018/W2/summaries/2_W2.html,parliamentary-corpora
200,http://xixona.dlsi.ua.es/~fran/publications/lrec2010.pdf,parallel-corpora
200,http://hdl.handle.net/20.500.12124/7,cmc-corpora
200,http://lrec-conf.org/workshops/lrec2018/W2/pdf/11_W2.pdf,parliamentary-corpora
200,https://www.clarin.eu/glossary,cmc-corpora
200,https://hdl.handle.net/11372/LRT-1502,cmc-corpora
200,https://epub.uni-regensburg.de/35705/,parliamentary-corpora
200,http://ojs.inz.si/pnz/article/view/193,parliamentary-corpora
200,http://www.sdjt.si/wp/wp-content/uploads/2018/09/JTDH-2018_Verdonik_Korpus-in-baza-Gos-Videolectures.pdf,spoken-corpora
200,http://www.lrec-conf.org/proceedings/lrec2016/pdf/518_Paper.pdf,spoken-corpora
200,http://hdl.handle.net/11858/00-097C-0000-000E-011B-8,cmc-corpora
200,https://ufal.mff.cuni.cz/pdtsc1.0/publications/slt2008-paperno-1097-final.pdf,spoken-corpora
200,http://hdl.handle.net/11356/1040,spoken-corpora
200,http://peeter.eki.ee:5010/altrovpajupuu2012.pdf,spoken-corpora
200,https://doi.org/10.5334/bbi.15,L2-corpora
200,http://dx.doi.org/10.1075/hsm.14.07sac,spoken-corpora
200,http://www.nytud.hu/depts/tlp/uralic/dbases.html,spoken-corpora
200,https://www.researchgate.net/publication/300469273_Phonoprosodic_corpus_of_spoken_Catalan_PhonCAT,spoken-corpora
200,https://benjamins.com/catalog/hsm.14,spoken-corpora
200,http://dx.doi.org/10.1075/hsm.14.11kup,spoken-corpora
200,http://badip.uni-graz.at/it/corpus-lip/cerca,spoken-corpora
200,http://badip.uni-graz.at/it/corpus-lip/descrizione,spoken-corpora
200,http://buckeyecorpus.osu.edu/pubs/BuckeyeCorpus.pdf,spoken-corpora
200,http://hnc.nytud.hu/index_eng.html,spoken-corpora
401,http://clara.nytud.hu/mnsz2-dev/bonito/run.cgi/first_form?uilang=en,spoken-corpora
200,http://dx.doi.org/10.5128/LV21.04,L2-corpora
200,http://voice.univie.ac.at/,spoken-corpora
200,http://corpora.lancs.ac.uk/bnc2014,spoken-corpora
200,http://www.aston.ac.uk/lss/research/lss-research/ccisc/discourse-and-culture/acwme/,spoken-corpora
200,http://cass.lancs.ac.uk/cass-projects/spoken-bnc2014/,spoken-corpora
200,http://www.parlaritaliano.it/api/,spoken-corpora
200,https://doi.org/10.15155/1-00-0000-0000-0000-00154L,spoken-corpora
200,http://metashare.elda.org/repository/browse/hungarian-medical-speech-database/76a0c9f881b611e2892a000c29bfc0d4ed0651f675914bb2805e26819a60167d/,spoken-corpora
200,https://www.clarin.si/kontext/first_form?corpname=gos_vl,spoken-corpora
200,http://metashare.nytud.hu/repository/browse/hungarian-kindergarten-language-corpus/b572a8106ba711e2aa7c68b599c26a06a4db2e695cf94a1cad6bf6793d747d2a/,spoken-corpora
200,http://hdl.handle.net/11356/1189,spoken-corpora
200,http://hdl.handle.net/11356/1190,spoken-corpora
200,http://www.korpus-gos.net/,spoken-corpora
200,https://spraakbanken.gu.se/swe/resurs/gdc,spoken-corpora
200,http://tekstlab.uio.no/glossa/html/?corpus=legepasient,spoken-corpora
200,http://www.parlaritaliano.it/index.php/it/corpora-di-parlato/644-spit-mdb-spoken-italian-multilevel-database,spoken-corpora
200,https://www.hf.uio.no/iln/english/about/organization/text-laboratory/projects/doctor-patient/index.html,spoken-corpora
200,http://metashare.nytud.hu/repository/browse/bea-hungarian-spontaneous-speech-database/808c4c306ba911e2aa7c68b599c26a062458e40404d44e4087901b5b720d2765/,spoken-corpora
200,http://hdl.handle.net/11372/LRT-253,spoken-corpora
